"","Away Team","Home Team","Line","ATOR","ATDR","HTOR","HTDR","Away Score","Home Score","Predictor","Prediction","Line Result","Bet.Result"
"99","UCLA","TEX",-15.5,0.72,0.87,0.92,0.69,34,12,-38,"TEX","UCLA","Win"
"100","OKLA","CIN",14,0.99,0.79,0.92,0.93,31,29,21,"OKLA","CIN","Lose"
"101","UK","UF",-14,1.27,0.73,0.96,0.53,14,48,11,"UK","UF","Lose"
"102","SJSU","UTAH",-30.5,0.75,0.97,1.08,0.71,3,56,-59,"UTAH","UTAH","Win"
"103","CAL","ARZ",-6,1.14,0.75,1.11,0.65,10,9,-7.00000000000002,"ARZ","CAL","Win"
"104","WVU","LSU",-10,0.9,0.78,0.87,0.64,14,20,-11,"LSU","WVU","Win"
"105","STAN","ND",4.5,1.26,0.68,0.86,1,37,14,72,"STAN","STAN","Lose"
"106","BALL","IOWA",-28,0.84,0.88,1.05,0.71,0,45,-38,"IOWA","IOWA","Win"
"107","USC","WSU",22,1.04,0.88,0.79,1.06,50,16,43,"USC","USC","Lose"
"108","BGSU","MICH",-25.5,0.79,0.83,1.17,0.88,21,65,-33,"MICH","MICH","Win"
"109","TEMP","PSU",-14,0.88,0.8,0.83,0.87,13,22,12,"TEMP","TEMP","Lose"
"110","BUFF","CONN",-20.5,0.7,0.78,0.96,0.86,21,45,-18,"BUFF","CONN","Lose"
"111","NCSU","GT",-7.5,1.02,0.77,1.11,0.9,45,28,3.99999999999999,"NCSU","NCSU","Lose"
"112","CMU","NW",-6.5,0.99,0.66,1.04,0.66,25,30,-5,"CMU","CMU","Lose"
"113","VT","BC",4,1.01,0.93,0.88,0.58,19,0,-22,"BC","VT","Win"
"114","FIU","MARY",-12,0.66,0.62,1,0.79,28,42,-17,"MARY","MARY","Win"
"115","TOLEDO","PUR",-11.5,0.78,0.78,0.93,0.88,31,20,-5,"TOLEDO","TOLEDO","Lose"
"116","UAB","TENN",-14,0.88,1,0.85,0.83,29,32,-14,"TENN","UAB","Win"
"117","UCF","KAN ST",-6.5,0.94,0.77,1.14,0.8,13,17,-17,"KAN ST","UCF","Win"
"118","AFA","WYO",13.5,1.21,0.85,0.74,1.05,20,14,67,"AFA","WYO","Lose"
"119","MIAOH","MIZZ",-20,0.79,0.69,0.9,0.65,13,51,-15,"MIAOH","MIZZ","Lose"
"120","ARMY","DUKE",-6.5,1.08,0.82,0.95,1.08,35,21,39,"ARMY","ARMY","Lose"
"121","TULANE","HOU",-19.5,0.8,0.81,1.12,0.82,23,42,-31,"HOU","TULANE","Win"
"122","ARK ST","TROY",-10.5,0.92,1.12,0.89,0.81,28,35,-28,"TROY","ARK ST","Win"
"123","UNC","RUT",2,0.85,0.97,0.91,0.72,17,13,-31,"RUT","UNC","Win"
"124","WAKE","FSU",-20,1.02,1.06,1.01,0.82,0,31,-23,"FSU","FSU","Win"
