Year,Week,Away Team,Home Team,Line,Over/Under,ATOR,ATDR,HTOR,HTDR,Score,Neutral
2010,6,ILL,PSU,-8.5,,0.87,0.83,0.82,0.83,33-13,
2010,6,CMU,VT,-21,,0.88,0.82,1.00,0.80,21-45,
2010,6,WMU,BALL,-5.5,,0.74,0.86,0.84,0.91,45-16,
2010,6,TEMP,NIU,-3.5,,0.90,0.91,1.03,0.89,17-31,
2010,6,BAY,TTU,-1,,1.01,0.78,0.89,0.82,38-45,1
2010,6,TENN,UGA,-11,,0.86,0.82,0.92,0.93,14-41,
2010,6,BGSU,OHIO,-9,,0.71,0.93,0.78,0.93,25-49,
2010,6,MEM,LOU,-17,,0.75,1.01,0.87,0.91,0-56,
2010,6,ARMY,TULANE,-1,,1.12,0.88,0.78,0.83,41-23,
2010,6,WKU,FIU,-9.5,,0.87,1.23,0.76,0.91,21-28,
2010,6,AKR,KENT,-17.5,,0.81,1.13,0.66,0.77,17-28,
2010,6,UNLV,WVU,-27.5,,0.81,0.98,0.86,0.77,10-49,
2010,6,PITT,ND,-6.5,,0.93,0.86,0.80,0.88,17-23,
2010,6,CLEM,UNC,-2,,0.96,0.81,0.93,0.82,16-21,
2010,6,UVA,GT,-10,,0.92,0.83,0.98,0.92,21-33,
2010,6,UCLA,CAL,-7.5,,0.85,0.83,1.04,0.75,7-35,
2010,6,USU,LT,-1.5,,0.92,0.89,0.72,0.95,6-24,
2010,6,SDSU,BYU,4.5,,1.09,0.71,0.74,1.06,21-24,
2010,6,NAVY,WAKE,3.5,,0.97,0.88,0.92,0.99,28-27,
2010,6,ARK ST,NT,3.5,,0.88,1.05,0.83,1.01,24-19,
2010,6,EMU,VANDY,-25,,0.86,1.19,0.85,0.91,6-52,
2010,6,MIAOH,CIN,-17,,0.78,0.84,0.87,0.93,3-45,
2010,6,FAU,ULM,-3.5,,0.80,1.03,0.72,1.02,17-20,
2010,6,NM,NMSU,-2.5,,0.57,1.14,0.78,1.27,14-16,
2010,6,MISS ST,HOU,5,,0.97,0.81,1.06,0.80,47-24,
2010,6,TULSA,SMU,-6.5,,1.02,0.93,0.95,0.88,18-21,
2010,6,RICE,UTEP,-9.5,,0.74,1.00,0.96,0.85,24-44,
2010,6,ASU,WASH,-1,,0.91,0.88,0.97,1.06,24-14,
2010,6,HAW,FRESNO,-10.5,,1.02,0.94,1.04,0.97,49-27,
2010,6,ECU,USM,-8,,0.97,1.10,0.96,0.77,44-43,
2010,6,PUR,NW,-8.5,,0.89,0.90,1.02,0.77,20-17,
2010,7,UCF,MARSH,6,,0.94,0.72,0.77,1.02,35-14,
2010,7,USF,WVU,-10,,0.89,0.80,0.95,0.75,6-20,
2010,7,KAN ST,KAN,3,,1.02,0.92,0.86,1.02,59-7,
2010,7,CIN,LOU,3,,0.97,0.90,0.99,0.85,35-27,
2010,7,ARK,AUB,-3.5,,0.98,0.76,1.14,0.83,43-65,
2010,7,OSU,WISC,3.5,,1.12,0.62,1.19,0.86,18-31,
2010,7,BOISE,SJSU,40,,1.24,0.69,0.74,1.07,48-0,
2010,7,BYU,TCU,-29,,0.78,1.04,1.22,0.70,3-31,
2010,7,TEX,NEB,-9.5,,0.82,0.80,1.19,0.71,20-13,
2010,7,ISU,OKLA,-22,,0.86,0.94,0.96,0.77,0-52,
2010,7,MISS,ALA,-20.5,,1.04,0.94,1.10,0.72,10-23,
2010,7,SC,UK,5,,1.02,0.87,1.09,0.97,28-31,
2010,7,UTAH,WYO,20.5,,1.18,0.75,0.76,1.07,30-6,
2010,7,ILL,MSU,-7,,0.89,0.82,1.12,0.77,6-26,
2010,7,IOWA,MICH,3.5,,1.08,0.65,1.22,0.95,38-28,
2010,7,BC,FSU,-21.5,,0.67,0.73,1.03,0.75,19-24,
2010,7,ARZ,WSU,23.5,,1.04,0.75,0.80,1.09,24-7,
2010,7,NEV,HAW,6.5,,1.21,0.80,1.02,0.90,21-27,
2010,7,OKLA ST,TTU,-3,,1.09,0.79,0.95,0.88,34-17,
